arch,algo,partition_mode,alpha,n_seeds,auc_mean,auc_std,test_auc_mean,energy_total_J_mean,energy_total_J_std,energy_model_J_mean,energy_model_J_std,steady_round_s_mean
spiking_expand2,fedadam,dirichlet,0.1,10,0.7084168796759973,0.04100629422233173,0.7051816422539214,64903.176600000006,329.3876467970371,40639.11741808744,595.129200347765,4.219405611115272
spiking_expand2,fedadam,dirichlet,0.5,10,0.6915799711658746,0.010910732639124026,0.6883127545936467,64585.8808,135.46591587128015,41009.15797451829,238.2712905577168,4.172697312904127
spiking_expand2,fedadam,dirichlet,1.0,10,0.6854385883129274,0.005706226951638041,0.6823211100736698,64491.6099,117.43501678843612,40771.71105516203,253.6387659938972,4.155953723252422
spiking_expand2,fedadam,dirichlet,5.0,10,0.6818128338337247,0.00750947332844022,0.6796875972467551,64518.424399999996,173.16834399713824,40937.47735085275,222.31871010007603,4.168791714581576
spiking_expand2,fedadam,iid,,10,0.8636377542884889,0.011951504975013127,0.8562703778385792,64890.3686,250.03053526994955,41033.918079605915,311.62038605467905,4.182634806151342
spiking_expand2,fedavg,dirichlet,0.05,10,0.6962598159933152,0.04858550469201518,0.6914151721380996,64852.912399999994,483.3038381596232,40863.784008063245,511.2009698462377,4.2521357543540725
spiking_expand2,fedavg,dirichlet,0.1,10,0.6805947675397912,0.015604027629312447,0.678462310783799,64797.1725,296.19550118395046,40816.22194363354,382.0828970003999,4.231350807228473
spiking_expand2,fedavg,dirichlet,0.5,10,0.6759451552987497,0.00439459179012846,0.6735184757104358,64537.756499999996,230.64104755429645,40822.822668621535,245.60069093279068,4.207117979213445
spiking_expand2,fedavg,dirichlet,1.0,10,0.6723675697554572,0.0023258559571733644,0.6693866557962203,64497.878000000004,205.36351571894508,40777.61309254438,259.78339732078257,4.206718152460426
spiking_expand2,fedavg,dirichlet,5.0,10,0.6717918836596212,0.0020147409927480232,0.6689286396050101,64522.1982,116.8132225675771,40822.54496177732,264.3844133560117,4.209822083482838
spiking_expand2,fedavg,iid,,10,0.8590907270854334,0.005437271499486908,0.8528554311524944,64373.93639999999,92.66913233913876,40386.03591656087,826.3050369115846,4.1961634688907195
spiking_expand2,fedavg,per_bs_dirichlet,0.05,5,0.8223995694138118,0.019311773345510416,0.8162274658325044,83439.9462,332.27572928623573,53047.12531395693,1279.8548787177433,6.995051821313723
spiking_expand2,fedavg,per_bs_dirichlet,0.5,5,0.7483294256943085,0.043515010929636416,0.7428385565656803,82950.80159999999,505.0708803472986,49800.44803803041,3136.6143659387403,6.960828926587345
spiking_expand2,fedavg,per_bs_dirichlet,5.0,5,0.6836654495030647,0.002850614701102333,0.6817676170969369,82961.25080000001,796.6349152087816,45977.84219581761,6278.791670951296,6.986714650163746
spiking_expand2,fedavg,per_bs_dirichlet,10.0,5,0.6855119318095049,0.004646509979008453,0.6841340639178393,82343.26800000001,430.0191795600552,28631.39902839084,26544.161225540625,6.961860297424624
spiking_expand2,fedavg,random_split,,5,0.6691726994510278,0.0029352494704860035,0.6667633592556349,79663.049,11059.2174328786,47170.267735435846,14573.520717468677,7.245975004542958
spiking_expand2,feddyn,dirichlet,0.05,10,0.6644534322011952,0.02903506035100601,0.661609299497983,67944.4438,657.9317595747036,41508.506375166624,322.5338927581776,4.604193796774354
spiking_expand2,feddyn,dirichlet,0.1,10,0.6692129228901986,0.017395812120074787,0.6633432433837471,67406.2323,492.2578376488066,41086.63995758875,547.5583724282375,4.528394186617148
spiking_expand2,feddyn,dirichlet,0.5,10,0.6679882795561256,0.012010233388681497,0.6654069464659883,66830.3446,146.07880501229903,41191.33728048553,555.2509560787022,4.463163204626603
spiking_expand2,feddyn,dirichlet,1.0,10,0.6631953539790114,0.015221886603069518,0.6612654525461783,66905.3414,136.09317250586827,41370.90817253691,421.06816118442674,4.473706731170115
spiking_expand2,feddyn,dirichlet,5.0,10,0.6630518947701691,0.011025823260183686,0.6588732515322457,66831.9189,143.86498582927217,41221.54886379246,465.56105365734084,4.463661179398046
spiking_expand2,feddyn,iid,,10,0.8529351690854096,0.005576044150029814,0.8446699841834994,67108.7584,126.26691857173205,41311.56507795815,373.96630734368256,4.495001273925858
spiking_expand2,fedprox,dirichlet,0.05,10,0.6872981209426375,0.0514024771476482,0.6817377556190745,65457.6422,505.80789553145246,41032.38350754875,237.25316731451727,4.342709695209157
spiking_expand2,fedprox,dirichlet,0.1,10,0.6715537093067,0.007814647117224042,0.6687100460751936,65445.386399999996,341.3874563578581,41243.13328560505,211.91539856033086,4.312921466490235
spiking_expand2,fedprox,dirichlet,0.5,10,0.6733035293665861,0.004615216195115093,0.6710810527490617,65518.5316,142.8097544903707,41060.60680507482,374.6872795324956,4.280539609205843
spiking_expand2,fedprox,dirichlet,1.0,10,0.6701795086715653,0.0019761342703558033,0.6675125148039717,65412.27070000001,71.67077157399233,41015.8296770032,587.2209003347886,4.280770730490636
spiking_expand2,fedprox,dirichlet,5.0,10,0.6693988478383127,0.0021688738093477125,0.6671625543192422,65657.6812,171.35510794824975,40582.89699545103,648.6746032170106,4.285014166494813
spiking_expand2,fedprox,iid,,10,0.848113326316217,0.004526294582533706,0.841644536564784,64900.284199999995,122.13260510590744,40782.28424523457,507.8312636039585,4.2657867881986835
spiking_expand2,scaffold,dirichlet,0.05,10,0.6538719006962384,0.010554531022182512,0.6533556675856178,67737.564,666.1922452273872,41338.15396710967,560.0580202359661,4.6126394584925485
spiking_expand2,scaffold,dirichlet,0.1,10,0.645212516614561,0.012961265561785626,0.6438268259902583,67163.19039999999,530.4730831144348,41330.09886402681,393.72428096619905,4.525680940801447
spiking_expand2,scaffold,dirichlet,0.5,10,0.6543703360743252,0.009525079706721954,0.6538739282200055,66833.8872,108.11088215017261,41461.30928344655,169.74032986904427,4.463223449870794
spiking_expand2,scaffold,dirichlet,1.0,10,0.6530547204046613,0.011143209067441257,0.6509154381678214,66817.951,109.83415209204354,41070.696929816724,356.6133650676945,4.453821608514497
spiking_expand2,scaffold,dirichlet,5.0,10,0.6593697182606736,0.006952205360554668,0.6553122617621654,66794.5404,119.0426326444989,41263.29815207004,324.51935353770364,4.422085098545961
spiking_expand2,scaffold,iid,,10,0.8463089960461497,0.013270129920989585,0.8400410730411739,66969.8996,195.52120630605987,41326.26220294552,168.0802968326031,4.516430036226908
